"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Efhd2",1.4012011497535e-190,1.42601571770533,0.972,0.831,2.40866477642626e-186
"Plbd1",9.86115140130487e-190,2.70072331710273,0.8,0.28,1.69513192588431e-185
"Gpx4",2.07351244382055e-187,-1.29718953930443,0.81,0.989,3.56436789092753e-183
"C1qb",9.86690315876871e-187,-1.21686150003175,0.786,0.999,1.69612065299234e-182
"Tgm2",2.08232406324647e-184,4.46356582345223,0.635,0.06,3.57951506472068e-180
"Lamp1",2.21967423046706e-183,-0.985642178489763,0.968,0.999,3.81562000217288e-179
"Trem2",7.64240056681205e-182,-2.01024105641085,0.402,0.891,1.31372865743499e-177
"Cd302",8.73034134245086e-182,-1.88398793942431,0.456,0.885,1.5007456767673e-177
"Fgfr1",3.02700882508935e-180,-5.39752200707958,0.016,0.486,5.20342817032859e-176
"Ap2a2",3.36151729158127e-180,-1.99818358920573,0.393,0.865,5.7784482242282e-176
"Psme1",6.87673620561194e-180,1.57895887694398,0.948,0.716,1.18211095374469e-175
"Dab2",2.69489455174931e-179,-1.63403048028874,0.606,0.958,4.63252373445707e-175
"Scimp",1.370306819745e-178,3.7749646308245,0.661,0.1,2.35555742314166e-174
"Tmem176a",8.86700509656096e-175,-2.40087171864779,0.224,0.766,1.52423817609883e-170
"Fcer1g",3.70704730978956e-174,0.719063130536027,1,1,6.37241432552825e-170
"Calm1",1.83135742789286e-173,0.902203416491206,1,0.993,3.14810341854783e-169
"Fam213b",8.2725189470733e-173,-2.18374912844161,0.321,0.807,1.4220460070019e-168
"Isg15",1.21607618098902e-172,3.02180092090123,0.836,0.374,2.09043495512013e-168
"Csf1r",1.77950570974644e-172,-1.46142329046992,0.726,0.958,3.05897031505413e-168
"mt-Cytb",1.90803174034033e-172,-1.13946753101649,0.983,0.998,3.27990656164502e-168
"mt-Co3",3.52355716478554e-172,-0.914301772242813,0.995,0.999,6.05699476626634e-168
"Gbp2",9.37759459501464e-172,3.15810287183274,0.779,0.295,1.61200851088302e-167
"Aprt",2.45494315340211e-171,1.81318654183776,0.892,0.556,4.22004728069822e-167
"Cxcl9",8.91345429781041e-170,5.70443084522828,0.607,0.074,1.53222279379361e-165
"Bcl2a1b",2.92840143727452e-167,2.8818602325256,0.732,0.202,5.0339220706749e-163
"Gngt2",1.78372340672902e-166,3.01951262389305,0.705,0.15,3.06622053616719e-162
"Cd37",7.28720994136527e-165,-2.53757910636334,0.181,0.693,1.25267138892069e-160
"Slfn2",3.02497292528735e-163,1.55431952312551,0.942,0.724,5.19992845856895e-159
"Tmem37",6.75556639190094e-163,-2.4672349755735,0.186,0.702,1.16128186276777e-158
"Ypel3",8.97855834121711e-163,-2.34100220282675,0.237,0.742,1.54341417885522e-158
"Hck",6.05577561178239e-161,2.16212719696312,0.812,0.374,1.04098782766539e-156
"Camk1",6.06920952892735e-161,-1.79500527611766,0.461,0.859,1.04329711802261e-156
"Klra2",7.00796438247832e-160,4.07072033542887,0.595,0.067,1.20466907734802e-155
"Mtss1",2.27013002070225e-159,-3.12532350505363,0.107,0.591,3.90235350558717e-155
"Myl12a",3.16018933417671e-156,1.14129113442793,0.977,0.867,5.43236546544977e-152
"Lrg1",3.30729838269537e-155,-6.17934838054133,0.013,0.424,5.68524591985334e-151
"Hsbp1",5.00226184608005e-154,-1.619128351205,0.732,0.935,8.59888811341161e-150
"Cfh",6.59893370929446e-153,-4.28927457925167,0.049,0.487,1.13435670462772e-148
"Bin1",5.92746444418806e-152,-1.88938866061931,0.415,0.836,1.01893113795593e-147
"H3f3b",7.21961907365131e-152,1.02005589281481,1,0.999,1.24105251876066e-147
"Aplp2",7.43504325314919e-151,-2.35793378663422,0.205,0.688,1.27808393521635e-146
"Maf",2.03935353727795e-150,-1.59689344990054,0.479,0.895,3.50564873058079e-146
"Lilrb4a",2.34531071295263e-150,1.70277035680247,0.901,0.636,4.03158911556557e-146
"Cd163",4.14557615809155e-150,-7.66019373238238,0.008,0.401,7.12624541575937e-146
"Actr3",1.15750387738358e-149,1.14878592481135,0.977,0.893,1.98974916522238e-145
"Eif5a",4.11799261312009e-149,1.14083689813278,0.975,0.898,7.07882930195343e-145
"Ccl6",1.1068540155188e-146,-1.36084694350055,0.905,0.996,1.90268205267682e-142
"Tgfbr2",3.03552526940402e-146,-2.61267027175207,0.152,0.629,5.21806793810551e-142
