"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Naaa",5.23814360848799e-81,1.48628373957644,0.805,0.613,9.00436886299086e-77
"Clta",5.50894777704788e-81,-0.507236185798323,0.995,1,9.46988122874531e-77
"Rpl4",1.05961994520743e-80,0.596154188456853,0.996,0.988,1.82148668581157e-76
"Zfp36l1",2.9174845646413e-80,-1.40674893133659,0.454,0.777,5.01515596661839e-76
"AF251705",6.74777741951546e-80,1.02507871707549,0.864,0.57,1.15994293841471e-75
"Aldh7a1",1.08877674484815e-79,-3.58882812832485,0.03,0.292,1.87160722439397e-75
"Tspan4",4.19894538390794e-79,-1.74956997474649,0.213,0.559,7.21798711493775e-75
"Tnip3",4.91273996756029e-79,3.56809643016643,0.353,0.036,8.44500000423613e-75
"Cd274",6.97057354802734e-79,2.93994146724025,0.425,0.092,1.1982415929059e-74
"Nfil3",9.19837795148891e-79,2.32367973264015,0.51,0.172,1.58120116986094e-74
"Rplp0",1.59299885750473e-78,0.60964622158572,0.996,0.992,2.73836503605062e-74
"Cmpk1",1.87194826707117e-78,1.11850644914504,0.829,0.633,3.21787907109534e-74
"Ccl4",2.73659720685076e-78,2.05671596038792,0.784,0.498,4.70421059857645e-74
"Taldo1",4.64171658866259e-78,1.10411854572307,0.858,0.67,7.97911081591099e-74
"Calr",6.32144094730538e-78,0.838901319521431,0.956,0.922,1.0866556988418e-73
"Itm2c",1.74696818092821e-77,-1.01815071412445,0.632,0.874,3.00303830301559e-73
"Dok2",2.40519663296761e-77,1.37477842138776,0.757,0.498,4.13453301207133e-73
"Msn",3.1256155381627e-77,1.16062107911799,0.812,0.573,5.37293311010169e-73
"Ran",2.06497999631787e-76,0.834514084796655,0.927,0.816,3.54970061367042e-72
"Sh3bgrl3",2.31054705173944e-76,0.499211860875192,0.999,0.998,3.9718303819401e-72
"H2afv",2.69534617915765e-76,-1.54942824785764,0.268,0.62,4.63330008197199e-72
"Tifab",1.32284153848319e-75,2.73341219338306,0.416,0.088,2.2739646046526e-71
"Nav1",4.53106063652942e-75,-2.52274227913307,0.074,0.363,7.78889323419408e-71
"Arhgap19",1.13591805783701e-74,-3.33681008097481,0.034,0.288,1.95264314142182e-70
"Tcf4",1.24111863909635e-74,-1.70816372130641,0.213,0.551,2.13348294060663e-70
"Rtp4",1.30741320481462e-74,1.40238256274551,0.789,0.554,2.24744329907634e-70
"Slc16a3",3.26421266486199e-74,2.50460438829953,0.471,0.138,5.61118157089776e-70
"Pon2",4.5598180577844e-74,-1.50017070260436,0.29,0.621,7.83832724133139e-70
"Ass1",5.36693436665215e-74,6.16659398720039,0.282,0.007,9.22576017627504e-70
"Ap2s1",9.43205748106722e-74,-0.736219070008884,0.914,0.968,1.62137068099546e-69
"Psmb2",1.83887337915893e-73,0.802156002548012,0.93,0.791,3.16102333877421e-69
"Slco3a1",4.04294863153145e-73,4.35963727551238,0.308,0.022,6.94982869760256e-69
"Tnf",5.14960795686707e-73,2.96115192900534,0.423,0.099,8.8521760778545e-69
"Clec4e",5.97057386739597e-73,3.2191479048024,0.398,0.085,1.02634164780537e-68
"Srsf3",7.81551703704833e-73,1.17362458067485,0.791,0.544,1.34348737866861e-68
"Runx3",9.12432998235202e-73,3.70549901504269,0.334,0.038,1.56847232396631e-68
"Sec14l1",1.1155169696929e-72,-1.96972180681238,0.15,0.464,1.91757367090209e-68
"Pla2g15",1.13944850876634e-72,-1.65305890074561,0.215,0.548,1.95871198656934e-68
"Atox1",1.15080093619851e-72,0.777232473133479,0.958,0.899,1.97822680932524e-68
"Evl",3.27834470642203e-72,1.59038344364688,0.645,0.333,5.63547455033947e-68
"Comt",3.42682352103818e-72,-1.19525237000039,0.504,0.773,5.89070963266464e-68
"Atp13a2",6.22240951622433e-72,-1.41621450073399,0.328,0.653,1.06963219583896e-67
"Tapbp",8.05455198934699e-72,1.1563862902991,0.814,0.612,1.38457748696875e-67
"Hcls1",1.38972666507934e-71,1.2367207508518,0.77,0.538,2.38894013727139e-67
"Ms4a6c",1.954215709757e-71,0.804700839961195,0.964,0.932,3.35929680507228e-67
"Ralbp1",3.05243696585641e-71,-1.30612651403581,0.378,0.688,5.24713914430717e-67
"Mmp14",3.97933387707001e-71,4.05115220278531,0.317,0.032,6.84047493468335e-67
"Lair1",5.68233683016913e-71,1.77357740965254,0.579,0.247,9.76793701106073e-67
"Nacc2",5.859654357203e-71,-2.6606817913629,0.054,0.32,1.0072745840032e-66
"Atp5f1",8.74908300440482e-71,0.654090071718741,0.962,0.903,1.50396736845719e-66
"Twf2",1.85010852585166e-70,1.5447271670455,0.626,0.33,3.180336555939e-66
"Srsf7",3.26582731528898e-70,1.46633244798367,0.665,0.368,5.61395715498176e-66
"Zfp706",3.44397304895843e-70,-0.917457593706518,0.634,0.863,5.92018967115955e-66
"Pld3",3.95550211299532e-70,-1.56444443960474,0.269,0.593,6.79950813223895e-66
"Adgre1",4.33541867643249e-70,-0.908575975186034,0.589,0.874,7.45258470478744e-66
"Creb5",7.07354449220598e-70,3.37307416406582,0.335,0.042,1.21594229821021e-65
"Tap2",8.96422067285511e-70,1.81601965771275,0.569,0.26,1.54094953366379e-65
"PISD",1.03856603460465e-69,-1.89096877741468,0.168,0.482,1.7852950134854e-65
"Cxcl16",1.13334624997879e-69,1.33480525925681,0.799,0.616,1.94822220371354e-65
"Pfkp",1.15131183136775e-69,2.46299621049775,0.467,0.158,1.97910503812117e-65
"Ncf4",2.62457573677462e-69,1.26323741312705,0.75,0.499,4.51164569151557e-65
"Plgrkt",4.93736746155492e-69,1.46238637230087,0.729,0.485,8.48733466641291e-65
"Ssh2",6.01591543105347e-69,-2.15205559780316,0.104,0.395,1.03413586259809e-64
"Klf2",6.69585285298413e-69,-1.1955684148232,0.574,0.829,1.15101710542797e-64
"Socs1",6.96326777837355e-69,4.11035954850037,0.322,0.039,1.19698573110241e-64
"Ccrl2",7.03939576997564e-69,1.83404109240871,0.603,0.282,1.21007213285881e-64
"Lamp2",8.18601918582607e-69,-0.825607598070044,0.758,0.917,1.4071766980435e-64
"Gstm1",1.27796708720521e-68,-2.45537543086472,0.079,0.354,2.19682542290575e-64
"Gas7",1.57962904391225e-68,-1.68219714333791,0.179,0.502,2.71538232648516e-64
"Gm26532",2.9344837954482e-68,-2.06203263307694,0.152,0.456,5.04437764437545e-64
"Cox7a2l",1.47468175452177e-67,-0.807956723122948,0.786,0.936,2.53497793602292e-63
"Fam234a",1.92095010520985e-67,-2.17902361082194,0.105,0.39,3.30211323085574e-63
"Lsp1",2.00457689290913e-67,1.81295989964231,0.571,0.249,3.4458676789108e-63
"Srsf2",2.01093596208045e-67,1.12622588128976,0.796,0.572,3.45679891881629e-63
"Hist1h1c",2.19173952760895e-67,-1.97471529880083,0.165,0.471,3.76760024795978e-63
"Traf1",2.43351405954636e-67,3.66039953687659,0.328,0.046,4.18321066836019e-63
"Adam8",2.92616676464102e-67,2.42542925176832,0.472,0.164,5.03008066841791e-63
"Man2b1",3.46785236545411e-67,-1.27200918782958,0.392,0.698,5.96123821621562e-63
"Serpinb8",4.42520066924883e-67,-2.46467174681009,0.06,0.32,7.60691995043873e-63
"Cd300lf",3.48542797323436e-66,2.97474474835586,0.357,0.069,5.99145068598987e-62
"Tarm1",3.73119493279422e-66,4.7289452661979,0.272,0.014,6.41392408947327e-62
"Slc25a5",3.94929731918594e-66,0.665674455756875,0.975,0.936,6.78884209168063e-62
"Cyba",4.56881011600874e-66,0.420875080261667,1,1,7.85378458941902e-62
"Ccr5",5.0433529853574e-66,1.2569195434428,0.694,0.393,8.66952378182937e-62
"H2-T22",2.3733571508845e-65,1.22768272495127,0.801,0.587,4.07980094237045e-61
"Sbf2",3.3741600826835e-65,-2.64174301350672,0.06,0.312,5.80018118213293e-61
"B2m",5.87814365178091e-65,0.530820549391202,1,1,1.01045289374114e-60
"Iqgap2",6.41529803461425e-65,-2.01400774987415,0.125,0.411,1.10278973215019e-60
"Cycs",7.93105256690184e-65,1.23812814349427,0.704,0.424,1.36334793625043e-60
"Slc2a1",8.46363842378112e-65,2.67031462448971,0.397,0.103,1.45489944504797e-60
"Gpt2",1.35307777735751e-64,-3.30791110957046,0.039,0.269,2.32594069927755e-60
"Gm9844",1.49802326632903e-64,2.31685980084157,0.422,0.122,2.57510199481961e-60
"Manf",2.32706837475308e-64,1.00423107300422,0.85,0.715,4.00023053620054e-60
"Emp1",2.73041874604857e-64,-1.41511874786558,0.3,0.625,4.69358982445748e-60
"Nfkbia",3.5098756224194e-64,1.1769978589366,0.909,0.809,6.03347619493895e-60
"Twf1",4.27338100415815e-64,-1.60937979121577,0.218,0.531,7.34594194614786e-60
"Mylip",6.47400008184015e-64,-2.86796827496263,0.044,0.279,1.11288061406832e-59
"Hbb-bs",8.69625822783203e-64,-3.58106518503631,0.035,0.261,1.49488678936433e-59
"Napsa",1.08488205960421e-63,2.59973873108198,0.427,0.132,1.86491226045964e-59
"Gm9733",1.33542974071498e-63,6.28414975543866,0.252,0.009,2.29560372428905e-59
"Anxa2",2.31949741089408e-63,1.2066364656576,0.863,0.771,3.98721604932692e-59
"Nxpe5",2.48035457713926e-63,-2.17169196571577,0.114,0.389,4.26372951810239e-59
"Pid1",2.75305911761484e-63,1.33780012361922,0.754,0.53,4.73250862317991e-59
"Gnb2",4.51520439534762e-63,0.604955722193117,0.975,0.944,7.76163635560256e-59
"Slc48a1",5.63696694718689e-63,-1.26791670347877,0.451,0.726,9.68994618221426e-59
"Tspan3",5.66674875414629e-63,-0.905476858679295,0.319,0.679,9.74114110837747e-59
"Rbx1",7.84696303991551e-63,0.746559751864224,0.909,0.774,1.34889294656148e-58
"Alox5ap",9.3694810172235e-63,-0.579770456762375,0.954,0.991,1.61061378686072e-58
"Tbcb",1.00192196293018e-62,1.01419287683265,0.798,0.653,1.72230385427697e-58
"Hsp90aa1",1.20864076881583e-62,0.860411739073639,0.914,0.797,2.07765348159442e-58
"Mef2c",1.27710153969247e-62,-1.93475029143972,0.137,0.424,2.19533754673135e-58
"Plxnb2",2.22961559012443e-62,-1.34870599286206,0.311,0.623,3.83270919942389e-58
"Tmem141",3.53506191619596e-62,-1.71263335221494,0.188,0.485,6.07677143394086e-58
"B4galt6",4.61646362937794e-62,-1.66360742291503,0.159,0.457,7.93570097890068e-58
"Ccdc109b",5.19138818658822e-62,1.069928310717,0.786,0.593,8.92399629274515e-58
"Vdac2",6.73156261436941e-62,0.834622804653382,0.895,0.774,1.1571556134101e-57
"Rab20",2.05915737518923e-61,1.6130615766237,0.615,0.341,3.53969152795028e-57
"Frmd4b",2.58486464022934e-61,-1.38122643846592,0.268,0.578,4.44338231655424e-57
"Zbtb20",3.08512113799541e-61,-2.47813410773658,0.062,0.305,5.30332323621411e-57
"Ctsz",4.28093057792969e-61,0.530641650849098,0.993,0.984,7.35891966346113e-57
"Gclm",4.4394012732226e-61,-1.97655283776453,0.154,0.44,7.63133078866965e-57
"Wdfy3",5.34945779109736e-61,-1.90514130245959,0.124,0.403,9.19571794289636e-57
"Arf6",6.59465091079718e-61,1.1431776825344,0.753,0.549,1.13362049156603e-56
"Mkrn1",1.00924848671988e-60,0.944263999408479,0.826,0.648,1.73489814867147e-56
"0610012G03Rik",1.37936360252099e-60,-0.854479345315581,0.694,0.875,2.37112603273358e-56
"Snx3",1.6754622596094e-60,-0.604910800486008,0.925,0.973,2.88011962426857e-56
"Chmp2a",2.1697506992863e-60,0.809140494279769,0.898,0.745,3.72980145207316e-56
"AB124611",2.99239908613005e-60,1.23837671354368,0.719,0.439,5.14393402905755e-56
"Msr1",3.15606232398103e-60,1.31045307925959,0.705,0.487,5.42527113492338e-56
"H2afy",3.72297129355455e-60,1.10274234385838,0.818,0.636,6.39978765362026e-56
"Tbc1d14",4.68823350155479e-60,-1.75647532988918,0.147,0.434,8.05907338917269e-56
"Gna13",8.45220305002732e-60,1.23156393744996,0.749,0.536,1.4529337042997e-55
"Psmb7",1.2296115748291e-59,1.03883693961527,0.748,0.512,2.11370229713123e-55
"Lipa",2.82652302227256e-59,-1.32322268893407,0.317,0.614,4.85879307528653e-55
"Ddx3x",2.94303665410123e-59,-1.26330997945554,0.389,0.691,5.05908000840001e-55
"Rplp1",3.98580798147753e-59,-0.448802003585253,0.99,0.999,6.85160392015988e-55
"Ranbp1",6.28903460607568e-59,0.901345730999023,0.839,0.694,1.08108504878441e-54
"Gm5150",6.5892021133684e-59,2.31092830028804,0.401,0.116,1.13268384328803e-54
"Ifi35",1.09847212748296e-58,1.46733182543698,0.624,0.353,1.88827358714321e-54
"Akap13",1.23597534311114e-58,-1.24281783488352,0.315,0.625,2.12464161480806e-54
"Osbpl11",1.29219080587537e-58,-2.25620421381796,0.088,0.34,2.22127599529976e-54
"Mxd4",1.52471888323065e-58,-1.93450690926422,0.12,0.39,2.62099176027348e-54
"Ube2i",3.55679934516607e-58,0.877485863959963,0.841,0.67,6.11413807434048e-54
"Calm3",5.13436003449484e-58,0.784504310918734,0.89,0.785,8.82596489929663e-54
"Cd72",5.40147577961821e-58,2.82647654847164,0.401,0.126,9.2851368651637e-54
"Ifitm3",6.11601702076737e-58,0.622657579916907,0.999,0.997,1.05134332586991e-53
"Irf8",6.55857397356263e-58,1.40546880709802,0.787,0.648,1.12741886605542e-53
"Slfn1",1.38303723882773e-57,1.83075004518181,0.498,0.207,2.37744101354487e-53
"Bak1",1.76997964270329e-57,1.5989074105411,0.53,0.24,3.04259500580695e-53
"Lcp1",2.23206332666781e-57,0.776121758390312,0.916,0.823,3.83691685854196e-53
"Rhob",4.48454417984663e-57,-1.33133540817205,0.361,0.653,7.70893144515635e-53
"Chil3",8.10945447933788e-57,4.6806971927962,0.274,0.034,1.39401522499818e-52
"Pepd",8.45285506192622e-57,-1.31584921309353,0.346,0.625,1.45304578514512e-52
"Gsn",9.1761396354086e-57,1.44821378819457,0.627,0.374,1.57737840332674e-52
"Arhgdia",1.37930189466512e-56,0.642809775552825,0.942,0.867,2.37101995692934e-52
"Myd88",1.93034604516107e-56,1.66975019313781,0.532,0.252,3.31826485163189e-52
"Ehd4",2.17450069766949e-56,-0.976410345999323,0.573,0.802,3.73796669929385e-52
"Mxd1",2.99504514776762e-56,2.39652075991454,0.413,0.133,5.14848260901254e-52
"Cybb",3.4665720093298e-56,0.923896499886167,0.866,0.753,5.95903728403792e-52
"Gda",3.56084699613521e-56,-0.984001790795839,0.526,0.772,6.12109598635642e-52
"Ccl9",4.04625896307704e-56,-0.569204379447326,0.793,0.978,6.95551915752943e-52
"Ddrgk1",5.13166091776414e-56,-0.989778007276696,0.522,0.768,8.82132511763656e-52
"Nampt",5.22522972229587e-56,1.23157793923983,0.685,0.437,8.9821698926266e-52
"Rbm8a",6.24454324295305e-56,1.18042963972522,0.674,0.409,1.07343698346363e-51
"Psma1",7.05996724022907e-56,1.07995464797934,0.733,0.52,1.21360836859538e-51
"Hspa8",7.50630271566161e-56,0.830692986539006,0.995,0.995,1.29033343682223e-51
"Plod1",7.80389070943946e-56,-1.62084925415398,0.179,0.456,1.34148881295264e-51
"Gmfg",7.99560213432463e-56,-0.658376176074371,0.814,0.944,1.3744440068904e-51
"Rps6",1.66419818493595e-55,0.412722516661844,0.999,1,2.8607566799049e-51
"Vkorc1",1.80085250391393e-55,-2.22719704320494,0.078,0.316,3.09566545422804e-51
"Sf3b6",1.92451405627376e-55,0.836199834317309,0.847,0.683,3.30823966273459e-51
"Zfhx3",2.2108158074765e-55,-2.17514130205206,0.079,0.32,3.80039237305211e-51
"Ifi205",2.26392690412813e-55,3.85256732772217,0.259,0.026,3.89169034819626e-51
"Myl6",2.51770774314842e-55,0.510587461928825,0.997,0.964,4.32793961047213e-51
"Cox7a2",1.29251360139125e-54,0.61822020091767,0.952,0.892,2.22183088079155e-50
"Ndufs4",1.37150183226548e-54,1.0439730201386,0.725,0.507,2.35761164966436e-50
"Neat1",1.82715804097244e-54,-0.958636382001441,0.704,0.878,3.14088467243163e-50
"Hnrnpa3",2.79754881309299e-54,0.853471399701105,0.828,0.64,4.80898640970684e-50
"Coro2a",2.97315379068659e-54,3.84335811986437,0.255,0.027,5.11085136619026e-50
"Gbp3",3.68798503394864e-54,1.95279068979238,0.476,0.206,6.33964627335771e-50
"Eef1g",5.20561026393637e-54,0.669641278883173,0.951,0.936,8.94844404370663e-50
"Cenpb",7.05081558929686e-54,-1.39658815673309,0.241,0.524,1.21203519980013e-49
"Ctnnd1",7.57116091837942e-54,-2.10979710779617,0.083,0.321,1.30148256186942e-49
"Mpp1",1.20624059987499e-53,-1.05311314090431,0.412,0.689,2.0735275911851e-49
"Glipr2",1.82973658757253e-53,3.25491548337707,0.275,0.039,3.14531719403717e-49
"Snx20",2.04663550159856e-53,1.40345741101887,0.618,0.378,3.51816642724793e-49
"Ube2l6",2.14576922168076e-53,2.14084133343884,0.405,0.136,3.68857729206923e-49
"Cd33",3.00232513830571e-53,-2.53400878493674,0.048,0.259,5.16099691274752e-49
"Tspo",3.98066461831417e-53,0.61231531861234,0.997,0.981,6.84276247888206e-49
"Nmi",6.14491687642634e-53,1.66739029536388,0.506,0.232,1.05631121105769e-48
"Arl5c",7.99798849933031e-53,2.6389628342843,0.341,0.087,1.37485422303488e-48
"Snx2",1.15488342602215e-52,-0.756531346421118,0.752,0.905,1.98524460933208e-48
"Wnk1",1.47824784088551e-52,-0.940799979586434,0.514,0.774,2.5411080384822e-48
"Mfsd11",1.53810491431183e-52,-1.62610157661185,0.169,0.437,2.64400234770203e-48
"Arf5",2.25557659343179e-52,0.576452117522172,0.968,0.927,3.87733616410926e-48
"Ppp1ca",2.79084621309753e-52,0.604017541800264,0.953,0.905,4.79746464031465e-48
"Dcxr",3.01179503435852e-52,-1.36409954768433,0.251,0.536,5.17727566406229e-48
"Ophn1",3.06000727410853e-52,-2.23334745471745,0.064,0.287,5.26015250419256e-48
"Cyp27a1",3.79581349337637e-52,-2.33912961105359,0.069,0.292,6.52500339511398e-48
"Rabac1",4.09673088072453e-52,-0.785453079357826,0.725,0.889,7.04228038396547e-48
"Scarb2",7.95575963718049e-52,-1.38477316984028,0.268,0.541,1.36759508163133e-47
"Abhd12",8.331727556818e-52,-1.06916584345904,0.435,0.697,1.43222396701701e-47
"Sash1",8.92766893739976e-52,-1.36172562901104,0.201,0.486,1.53466629033902e-47
"Gns",9.92924675257197e-52,-1.0901196764521,0.397,0.673,1.70683751676712e-47
"Tmem205",1.41763179680999e-51,-1.33866744719661,0.249,0.53,2.43690905871637e-47
"Tpm3",1.73351225591038e-51,0.847799143629946,0.822,0.65,2.97990756790994e-47
"Csrnp1",3.55798748388286e-51,1.81618195206367,0.475,0.208,6.11618048479463e-47
"Abi3",3.76847167644103e-51,2.96372711548681,0.256,0.03,6.47800281180213e-47
"Tspan13",4.49533200114645e-51,3.60135023917071,0.26,0.036,7.72747570997075e-47
"Rpl13",4.87718760859708e-51,0.407456281803385,0.999,1,8.38388549917837e-47
"Sap30",5.29440237841912e-51,1.59079465984813,0.574,0.328,9.10107768850247e-47
"M6pr",8.70509143066498e-51,0.942563508016373,0.767,0.6,1.49640521693131e-46
"Atraid",1.69683624571072e-50,-1.20900394477856,0.335,0.607,2.91686150637674e-46
"Ccr1",1.77210540770723e-50,1.36031125022607,0.663,0.417,3.04624919584873e-46
"Use1",2.38427296906433e-50,-0.77396520493696,0.722,0.879,4.09856523382159e-46
"Stat1",2.41962305580597e-50,1.20638328671747,0.67,0.44,4.15933203293047e-46
"Cytip",3.4101395352646e-50,2.43837990721905,0.35,0.1,5.86202986111985e-46
"Ccnd2",5.00988205719474e-50,2.17388652938375,0.425,0.171,8.61198725631776e-46
"Xaf1",9.36831267417824e-50,1.63027169686405,0.518,0.257,1.61041294869124e-45
"Ntpcr",2.24841280260823e-49,-1.373309331684,0.289,0.551,3.86502160768355e-45
"Rhoq",2.45278206268911e-49,-2.08758000696756,0.073,0.293,4.21633236576258e-45
"Higd1a",2.49666359775473e-49,1.0692018416934,0.754,0.571,4.29176472454038e-45
"Atp5g1",3.21333017670726e-49,0.608702899932266,0.936,0.906,5.52371457375978e-45
"Ptov1",4.01914854022136e-49,-1.56739424547283,0.176,0.435,6.90891634064051e-45
"Ifi204",4.07233356918399e-49,1.11782901114647,0.812,0.698,7.00034140542729e-45
"Cd44",5.73908153808726e-49,1.2618658695026,0.629,0.374,9.865481163972e-45
"Lst1",6.36340336053396e-49,0.75551113073442,0.885,0.754,1.09386903767579e-44
"Egr1",8.05454415844306e-49,-1.1254743353629,0.487,0.733,1.38457614083636e-44
"Fcho2",9.9659493063996e-49,-2.05215610464516,0.086,0.31,1.71314668577009e-44
"Klhl9",1.11869085300053e-48,-2.04819929523866,0.08,0.299,1.92302957630792e-44
"Lyl1",1.29757397902456e-48,-1.44721375220502,0.134,0.396,2.23052966994321e-44
"Psmd8",1.65347040600264e-48,0.770334251595058,0.869,0.75,2.84231562791854e-44
"Psmb3",2.27045227001319e-48,0.842372981460525,0.793,0.609,3.90290745215268e-44
"Sdhb",2.70656667114596e-48,0.781973155880064,0.845,0.712,4.65258810769991e-44
"Rasgrp2",3.13691949826118e-48,-1.89902420400518,0.103,0.338,5.39236461751098e-44
"Klf9",3.60133494996824e-48,-2.07608132051133,0.086,0.308,6.19069477899541e-44
"Tpd52",3.92921639131939e-48,0.747086437898304,0.879,0.776,6.75432297667803e-44
"Mdh2",5.2731967811158e-48,0.839794666102149,0.775,0.617,9.06462526673806e-44
"Slc29a1",5.47018817795489e-48,-1.58265322375267,0.17,0.425,9.40325347790446e-44
"Magoh",6.46741419482051e-48,1.43769528939067,0.524,0.266,1.11174850008965e-43
"Phf11d",1.04298399566762e-47,2.19500241792009,0.383,0.137,1.79288948855264e-43
"Rab7b",3.07850772775983e-47,1.22652512172605,0.62,0.385,5.29195478401914e-43
"Prkacb",3.109926421493e-47,-2.05515840953396,0.093,0.312,5.34596351854646e-43
"Fgr",3.61606172064175e-47,1.93611431107734,0.387,0.134,6.21601009778318e-43
"Ifrd1",3.72736869413838e-47,1.55027794072711,0.546,0.302,6.40734678522387e-43
"Ppt1",4.73421730428769e-47,1.29002500550746,0.647,0.441,8.13811954607053e-43
"Selm",1.27465736994658e-46,2.40601182863674,0.38,0.137,2.19113601893816e-42
"Slc45a4",1.32957839385361e-46,-2.07437124321301,0.079,0.291,2.28554525903435e-42
"Il4ra",2.48390430550664e-46,-1.1733819322143,0.41,0.657,4.26983150116591e-42
"Prkcd",2.66785845151946e-46,1.19689571229987,0.691,0.526,4.58604867816195e-42
"Mnda",2.70014839072361e-46,2.09931743353769,0.376,0.134,4.64155508365388e-42
"Gdf15",2.72416717847628e-46,-2.63780075452672,0.068,0.271,4.68284337980072e-42
"Jund",2.95526177085542e-46,-0.899069999348996,0.74,0.858,5.08009498410047e-42
"Ak2",3.14855394469179e-46,1.20880783597069,0.586,0.332,5.41236423092519e-42
"Nrp2",3.68718795327905e-46,-1.29036761378349,0.193,0.456,6.3382760916867e-42
"Snrpc",3.74453814959347e-46,1.02408451712002,0.676,0.459,6.43686107915118e-42
"Smim20",3.9669650163837e-46,-1.06844310322523,0.372,0.641,6.81921286316359e-42
"Psma5",4.75441014666014e-46,0.883049442709205,0.773,0.619,8.17283104210877e-42
"Ppa1",4.88335401606598e-46,1.85068808118321,0.42,0.172,8.39448555361741e-42
"Ifitm2",5.82093761299869e-46,-0.512526463614616,0.978,0.996,1.00061917567447e-41
"Igtp",6.90602083574313e-46,1.65913134995223,0.463,0.205,1.18714498166424e-41
"Sub1",1.04618344767564e-45,0.675409977076092,0.944,0.874,1.79838934655443e-41
"Trim47",1.16294386777667e-45,-2.17955937390315,0.071,0.274,1.99910050870809e-41
"Zfyve21",1.33313581890729e-45,-2.02425674525107,0.085,0.297,2.29166047270162e-41
"Gpr35",1.41467817131992e-45,2.40075828397147,0.302,0.073,2.43183177649895e-41
"Eps8",1.60194225403769e-45,-1.06639595510665,0.312,0.585,2.75373873469079e-41
"Psma6",1.78820340224435e-45,0.83627659940327,0.779,0.607,3.07392164845803e-41
"Metrnl",1.81608454341439e-45,0.882196592795071,0.865,0.793,3.12184933012934e-41
"Asph",2.43512386785235e-45,2.04966323882353,0.362,0.119,4.18597792883819e-41
"Emg1",3.40653684828108e-45,1.0268051451839,0.673,0.465,5.85583684219518e-41
"Gadd45b",4.27048539912602e-45,1.63302813260096,0.491,0.235,7.34096440109763e-41
"Vat1",4.41552829258866e-45,-1.26093142504671,0.24,0.497,7.59029313495991e-41
"Rpl13a",4.80665514184553e-45,-0.326239573541747,1,1,8.26264018883247e-41
"Lrrc25",5.91315398896003e-45,0.864361243741416,0.786,0.648,1.01647117070223e-40
"Sesn1",6.20552923200941e-45,-2.09494431548443,0.06,0.258,1.06673047498242e-40
"Rgs2",9.15357084042857e-45,1.28513303478668,0.67,0.443,1.57349882746967e-40
"Tmem171",1.23821758564572e-44,2.90098619529426,0.275,0.06,2.12849602972499e-40
"Hcst",1.32934462835316e-44,-1.48980725149162,0.184,0.434,2.28514341613909e-40
"Malat1",1.38720434212557e-44,0.439882859344218,0.995,0.992,2.38460426411385e-40
"Hnrnpdl",1.62357858682782e-44,1.30526879823684,0.547,0.314,2.79093159075703e-40
"Psme2b",1.63603514595639e-44,1.45496701003607,0.494,0.249,2.81234441589904e-40
"Lgmn",1.70648000812319e-44,-0.413329745625206,0.924,0.997,2.93343913396376e-40
"Tomm22",1.89342717395511e-44,0.772091111337617,0.811,0.649,3.25480131202883e-40
"Cnpy2",1.92750677607531e-44,-0.960745464238447,0.439,0.675,3.31338414807346e-40
"Tpm4",2.18286151736695e-44,1.12527592412676,0.676,0.466,3.75233894835378e-40
"Rac1",2.73252336110568e-44,0.486416829813724,0.981,0.957,4.69720765774067e-40
"Phlda1",3.66462531748742e-44,2.25590118167757,0.357,0.117,6.29949092076088e-40
"Hnrnpa1",4.49999162074105e-44,0.988061496262343,0.729,0.539,7.73548559605387e-40
"H2-Q7",5.4821112449725e-44,1.45258109715754,0.624,0.412,9.42374923010773e-40
"Mafb",6.6660547548096e-44,-0.750875246017183,0.746,0.915,1.14589481235177e-39
"Hk3",8.10403094765089e-44,1.6995221150727,0.447,0.209,1.39308291990119e-39
"Irf1",8.11007320152359e-44,1.59047916160741,0.535,0.297,1.39412158334191e-39
"Itgb7",8.3356030598124e-44,2.51723282490678,0.278,0.062,1.43289016598175e-39
"Kctd12",1.04678724636975e-43,-0.918393275765586,0.506,0.748,1.7994272765096e-39
"Lrrfip1",1.08994737915897e-43,1.46500567472885,0.488,0.242,1.87361954477427e-39
"Tmed2",1.14838167978083e-43,0.664189689260901,0.871,0.758,1.97406810754324e-39
"Fth1",1.22425400760226e-43,-0.323011707383942,1,1,2.10449263906829e-39
"Ebna1bp2",1.42770895939123e-43,1.41806209800467,0.518,0.285,2.45423170119352e-39
"Dnajb11",1.9123086421647e-43,1.00424523209679,0.702,0.513,3.28725855588112e-39
"Fbxw4",2.01948918734272e-43,-1.91964549218184,0.087,0.296,3.47150191304214e-39
"Tagln2",2.01994793451867e-43,0.678420027115865,0.885,0.751,3.4722904994376e-39
"Rit1",2.09807617686999e-43,-1.20786806016843,0.27,0.529,3.60659294803952e-39
"Cox7b",2.82410572512064e-43,0.571722724636337,0.923,0.841,4.85463774148238e-39
"Pnp",3.36334622589353e-43,0.8660388612211,0.819,0.663,5.78159216231097e-39
"Ap1s2",3.3667448908139e-43,-1.17153425632333,0.271,0.532,5.78743446730909e-39
"Cd180",3.64169944698052e-43,1.66854589024805,0.443,0.201,6.26008134935951e-39
"Dynll1",3.92033878934931e-43,0.496700423905753,0.985,0.973,6.73906237889147e-39
"Fkbp15",4.71445286324737e-43,-1.304448620244,0.201,0.452,8.10414447192224e-39
